,Gender,Ever_Married,Age,Graduated,Profession,Income,Work_Experience,Spending_Score,Family_Size,cluster number
0,1,1.0,36,1.0,2.0,834,0.0,1,1.0,1
1,0,1.0,37,1.0,1.0,1597,8.0,2,4.0,0
3,0,1.0,59,0.0,6.0,1093,11.0,3,2.0,1
5,0,1.0,47,1.0,7.0,628,0.0,3,5.0,3
6,0,1.0,61,1.0,7.0,875,5.0,1,3.0,1
7,1,1.0,47,1.0,5.0,890,1.0,2,3.0,1
8,0,1.0,50,1.0,5.0,1678,2.0,2,4.0,0
9,0,0.0,19,0.0,1.0,572,0.0,1,4.0,3
10,0,0.0,22,0.0,1.0,1739,0.0,1,3.0,0
11,1,0.0,22,0.0,1.0,836,0.0,1,6.0,1
12,0,1.0,50,1.0,5.0,1421,1.0,2,5.0,2
13,0,0.0,27,0.0,1.0,1003,8.0,1,3.0,1
14,0,0.0,18,0.0,7.0,1375,0.0,1,3.0,2
15,1,1.0,61,1.0,5.0,890,0.0,1,1.0,1
16,1,1.0,20,1.0,3.0,557,1.0,2,3.0,3
17,0,1.0,45,1.0,5.0,881,1.0,2,2.0,1
18,0,1.0,55,1.0,5.0,739,8.0,1,1.0,3
19,1,1.0,88,1.0,3.0,582,1.0,2,4.0,3
22,0,0.0,42,1.0,5.0,539,0.0,1,4.0,3
24,1,1.0,35,1.0,1.0,1553,9.0,3,3.0,0
25,0,1.0,27,0.0,6.0,561,5.0,3,4.0,3
27,1,0.0,29,1.0,1.0,584,0.0,1,4.0,3
28,1,1.0,79,0.0,3.0,507,1.0,3,2.0,3
30,0,1.0,89,0.0,3.0,699,1.0,1,2.0,3
31,0,1.0,63,1.0,5.0,1308,9.0,2,3.0,2
32,0,0.0,31,0.0,5.0,862,1.0,1,2.0,1
33,0,1.0,72,1.0,5.0,573,1.0,2,6.0,3
34,1,1.0,41,1.0,7.0,1009,9.0,2,2.0,1
35,1,0.0,61,1.0,5.0,811,11.0,1,1.0,1
36,0,1.0,62,1.0,5.0,1375,0.0,1,2.0,2
37,0,1.0,56,1.0,5.0,840,1.0,2,2.0,1
38,0,1.0,60,1.0,5.0,685,2.0,2,5.0,3
39,0,1.0,68,1.0,5.0,508,0.0,3,2.0,3
41,0,1.0,57,1.0,6.0,895,8.0,3,3.0,1
42,0,0.0,19,0.0,1.0,545,5.0,1,5.0,3
43,1,1.0,51,1.0,5.0,683,3.0,2,6.0,3
44,1,1.0,86,0.0,5.0,1693,1.0,3,2.0,0
45,1,1.0,74,0.0,3.0,1092,1.0,3,2.0,1
46,0,0.0,23,0.0,4.0,516,6.0,1,2.0,3
47,0,1.0,47,1.0,5.0,886,0.0,2,2.0,1
48,1,0.0,19,0.0,1.0,838,7.0,1,6.0,1
49,0,1.0,50,0.0,5.0,1584,0.0,3,4.0,0
52,1,0.0,48,1.0,7.0,554,0.0,1,1.0,3
53,0,1.0,70,1.0,7.0,750,1.0,2,2.0,3
54,0,1.0,50,1.0,6.0,783,3.0,3,5.0,1
55,1,1.0,83,1.0,3.0,675,0.0,3,2.0,3
56,0,0.0,35,1.0,4.0,886,0.0,1,1.0,1
57,1,0.0,36,1.0,5.0,1430,0.0,1,2.0,2
58,1,0.0,35,1.0,5.0,685,1.0,1,1.0,3
59,0,1.0,35,1.0,5.0,1038,0.0,2,2.0,1
60,0,0.0,18,0.0,1.0,698,3.0,1,3.0,3
61,1,1.0,73,1.0,5.0,520,1.0,2,2.0,3
62,0,1.0,62,0.0,5.0,1048,1.0,3,3.0,1
63,1,1.0,46,1.0,5.0,1063,1.0,2,2.0,1
64,0,1.0,43,1.0,4.0,1028,0.0,1,4.0,1
65,1,0.0,32,1.0,4.0,652,7.0,1,1.0,3
66,0,0.0,39,1.0,5.0,1342,0.0,1,1.0,2
